2	34	C2P
3	174	C2P
3	1239	C2P
3	3356	C2P
3	10578	C2P
3	19401	C2P
3	32361	C2P
4	226	C2P
4	567	C2P
6	1239	C2P
6	3215	C2P
6	3549	C2P
6	16128	C2P
6	18990	C2P
7	786	C2P
8	2914	C2P
8	3356	C2P
8	4557	C2P
9	5050	C2P
9	17054	C2P
11	1742	C2P
12	1297	C2P
12	3356	C2P
12	3754	C2P
12	6517	C2P
12	7018	C2P
13	668	C2P
14	209	C2P
14	1297	C2P
14	3356	C2P
14	3754	C2P
14	6079	PEER
16	293	C2P
17	19401	C2P
17	19782	C2P
18	276	C2P
18	6922	C2P
18	26468	C2P
20	3754	C2P
20	6395	C2P
20	7011	C2P
21	1239	C2P
22	668	C2P
24	297	C2P
24	1280	PEER
24	2153	PEER
24	6939	PEER
24	7575	PEER
24	10343	P2C
24	11537	C2P
24	20301	P2C
24	22388	PEER
25	2152	C2P
25	2153	C2P
26	3754	C2P
26	7911	C2P
26	14477	C2P
26	19401	C2P
26	33207	P2C
27	6059	C2P
27	10886	C2P
29	209	C2P
29	7018	C2P
29	22742	C2P
30	7018	C2P
31	226	C2P
31	567	C2P
32	71	P2C
32	174	C2P
32	2152	C2P
32	2153	C2P
32	3671	P2C
33	1280	PEER
33	2497	PEER
33	6079	PEER
33	6461	C2P
33	6939	PEER
34	2	P2C
34	174	C2P
34	10466	C2P
34	30641	P2C
35	209	C2P
35	5691	P2C
37	668	C2P
38	11537	C2P
38	19401	C2P
38	40387	C2P
41	297	C2P
42	703	PEER
42	715	P2C
42	1103	PEER
42	1273	PEER
42	1280	PEER
42	2119	PEER
42	2497	PEER
42	2516	PEER
42	2905	PEER
42	2914	C2P
42	3267	PEER
42	3292	PEER
42	3303	PEER
42	3333	PEER
42	3491	PEER
42	3741	PEER
42	3856	C2P
42	4323	PEER
42	4558	PEER
42	4589	PEER
42	4635	C2P
42	4637	PEER
42	4777	PEER
42	4826	C2P
42	5413	PEER
42	5430	PEER
42	5503	PEER
42	6067	PEER
42	6079	PEER
42	6320	PEER
42	6453	C2P
42	6461	PEER
42	6539	PEER
42	6667	PEER
42	6695	C2P
42	6730	PEER
42	6762	PEER
42	6830	PEER
42	6939	PEER
42	7472	C2P
42	7500	PEER
42	7575	PEER
42	8218	PEER
42	8289	PEER
42	8426	PEER
42	8447	PEER
42	8674	P2C
42	8763	PEER
42	8881	PEER
42	9002	PEER
42	9560	PEER
42	10075	PEER
42	11164	PEER
42	11608	PEER
42	11686	PEER
42	12350	PEER
42	12389	PEER
42	12399	PEER
42	12859	PEER
42	12989	PEER
42	13030	PEER
42	13237	PEER
42	14361	PEER
42	15412	PEER
42	16150	PEER
42	16559	PEER
42	16668	P2C
42	17819	PEER
42	19151	PEER
42	19166	PEER
42	20562	PEER
42	20932	PEER
42	21202	PEER
42	22691	PEER
42	23711	PEER
42	24167	PEER
42	24875	PEER
42	25560	PEER
42	26943	PEER
42	29208	PEER
42	29686	PEER
42	30890	PEER
42	32978	P2C
42	34695	PEER
42	35160	P2C
42	39912	PEER
42	41692	PEER
42	41853	PEER
42	44444	PEER
43	293	C2P
43	6128	C2P
45	293	C2P
46	1239	C2P
46	21976	C2P
47	226	C2P
47	567	C2P
48	668	C2P
49	701	C2P
50	293	C2P
50	10490	C2P
52	2152	C2P
52	2153	C2P
55	174	C2P
55	3356	C2P
55	10466	C2P
57	217	P2C
57	1998	P2C
57	4323	C2P
57	5006	P2C
57	6263	P2C
57	7911	C2P
57	7973	P2C
57	8148	P2C
57	11537	C2P
57	15336	P2C
57	17234	P2C
57	19401	C2P
57	21873	P2C
57	21951	P2C
57	22335	C2P
57	25866	P2C
57	26557	P2C
57	32907	P2C
57	33189	P2C
57	33455	P2C
57	33692	P2C
57	40497	P2C
59	513	PEER
59	2381	C2P
59	19401	C2P
59	22335	C2P
63	10578	C2P
63	14742	C2P
64	209	C2P
64	5691	P2C
67	3356	C2P
67	7018	C2P
68	293	C2P
68	40498	C2P
70	3356	C2P
70	3527	C2P
70	10886	C2P
71	32	C2P
71	209	C2P
71	1239	C2P
71	4323	C2P
71	4445	P2C
71	7018	C2P
71	7298	C2P
71	7385	C2P
71	9218	P2C
71	10782	P2C
71	12641	P2C
71	13979	P2C
71	15329	P2C
72	174	C2P
72	1273	C2P
72	3216	C2P
72	4323	C2P
72	4755	C2P
72	6395	C2P
72	7018	C2P
72	9911	C2P
73	101	C2P
74	818	C2P
74	3602	C2P
77	209	C2P
77	5723	C2P
78	701	C2P
78	5006	C2P
78	7018	C2P
78	7263	C2P
78	22969	C2P
80	1295	P2C
80	3921	P2C
80	9304	C2P
80	14846	P2C
80	19981	P2C
81	174	C2P
81	209	C2P
81	3356	C2P
81	5778	C2P
81	6559	P2C
81	11164	C2P
81	11426	C2P
81	11442	P2C
81	11537	C2P
81	11777	P2C
81	13371	P2C
81	17031	P2C
81	18538	P2C
81	19401	C2P
81	19435	C2P
81	19718	P2C
81	20197	P2C
81	22753	P2C
81	22854	P2C
81	27446	P2C
81	27631	P2C
81	29710	P2C
81	32417	P2C
81	33401	P2C
81	36850	P2C
81	40245	P2C
83	668	C2P
83	27064	C2P
84	668	C2P
85	226	C2P
85	10913	C2P
86	7018	C2P
87	19782	C2P
88	1785	C2P
88	10466	C2P
88	36377	C2P
88	40623	P2C
89	668	C2P
90	701	C2P
90	1239	C2P
91	3754	C2P
91	6395	C2P
92	3356	C2P
92	3754	C2P
97	2914	PEER
98	3356	C2P
98	3754	C2P
100	1803	C2P
100	6429	C2P
100	11812	C2P
100	13586	C2P
100	15776	C2P
100	23240	C2P
100	29719	C2P
101	73	P2C
101	1239	C2P
101	2153	PEER
